Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,,,,,,
Informations à l'échelle de l'Arrondissement (Paris-Lyon-Marseille),,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Code arrondissement,Nom arrondissement,Code région,Code département,Siren EPCI,Code commune,Logements,Établissements,Zones très denses,OI 2018 T1
13201,Marseille 1er Arrondissement,93,13,200054807,13055, 3 150    , 173    ,1,FREE-FRTE-SFR0
13202,Marseille 2e Arrondissement,93,13,200054807,13055, 23 775    , 2 890    ,1,FREE-FRTE-SFR0
13203,Marseille 3e Arrondissement,93,13,200054807,13055, 15 079    , 1 448    ,1,FREE-FRTE-SFR0
13204,Marseille 4e Arrondissement,93,13,200054807,13055, 23 467    , 947    ,1,FREE-FRTE-SFR0
13205,Marseille 5e Arrondissement,93,13,200054807,13055, 27 722    , 983    ,1,FREE-FRTE-SFR0
13206,Marseille 6e Arrondissement,93,13,200054807,13055, 29 115    , 867    ,1,FREE-FRTE-SFR0
13207,Marseille 7e Arrondissement,93,13,200054807,13055, 26 618    , 2 672    ,1,FREE-FRTE-SFR0
13208,Marseille 8e Arrondissement,93,13,200054807,13055, 22 009    , 911    ,1,FREE-FRTE-SFR0
13209,Marseille 9e Arrondissement,93,13,200054807,13055, 44 782    , 2 945    ,1,FREE-FRTE-SFR0-UPCF
13210,Marseille 10e Arrondissement,93,13,200054807,13055, 35 568    , 1 277    ,1,FREE-FRTE-SFR0
13211,Marseille 11e Arrondissement,93,13,200054807,13055, 27 520    , 992    ,1,FREE-FRTE-SFR0
13212,Marseille 12e Arrondissement,93,13,200054807,13055, 23 657    , 1 487    ,1,FREE-FRTE-SFR0
13213,Marseille 13e Arrondissement,93,13,200054807,13055, 28 475    , 1 207    ,1,FREE-FRTE-SFR0
13214,Marseille 14e Arrondissement,93,13,200054807,13055, 39 156    , 1 280    ,1,FREE-FRTE-SFR0
13215,Marseille 15e Arrondissement,93,13,200054807,13055, 25 921    , 1 413    ,1,FREE-FRTE-SFR0
13216,Marseille 16e Arrondissement,93,13,200054807,13055, 31 951    , 1 685    ,1,FREE-SFR0
