Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,,,,,,,,,
Informations à l'échelle de la commune,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Code commune,Nom commune,Code région,Code département,Siren EPCI,Logements,Établissements,Zones très denses,Engagements L. 33-13,Intentions privées hors engagement L. 33-13,Commune rurale,Commune de montagne,OI 2018 T1
64001,Aast,75,64,200067296, 81    , -    , -    , -    , -    , 1    , -    ,
55001,Abainville,44,55,200066108, 152    , 14    , -    , -    , -    , 1    , -    ,
59001,Abancourt,32,59,200068500, 197    , 10    , -    , -    , -    , 1    , -    ,
60001,Abancourt,32,60,246000848, 293    , 15    , -    , -    , -    , 1    , -    ,
54001,Abaucourt,44,54,200070589, 152    , 4    , -    , -    , -    , 1    , -    ,
55002,Abaucourt-Hautecourt,44,55,245501242, 57    , 7    , -    , -    , -    , 1    , -    ,
25001,Abbans-Dessous,27,25,200068070, 105    , 2    , -    , -    , -    , 1    , -    ,
25002,Abbans-Dessus,27,25,200068070, 132    , 5    , -    , -    , -    , 1    , -    ,
44001,Abbaretz,52,44,244400537, 911    , 33    , -    , -    , -    , 1    , -    ,
60002,Abbecourt,32,60,200067973, 326    , 10    , -    , -    , -    , 1    , -    ,ONUM
02001,Abbécourt,32,02,200071785, 231    , 8    , -    , -    , -    , 1    , -    ,AISN
25003,Abbenans,27,25,200068294, 179    , 5    , -    , -    , -    , 1    , -    ,
80001,Abbeville,32,80,200070993, 12 218    , 853    , -    ,FRTE , -    , -    , -    ,FRTE
91001,Abbéville-la-Rivière,11,91,200017846, 136    , 6    , -    , -    , -    , 1    , -    ,
54002,Abbéville-lès-Conflans,44,54,200070845, 107    , 4    , -    , -    , -    , 1    , -    ,
60003,Abbeville-Saint-Lucien,32,60,200068005, 214    , 7    , -    , -    , -    , 1    , -    ,ONUM
25004,Abbévillers,27,25,200065647, 479    , 9    , -    , -    , -    , 1    , 1    ,
34001,Abeilhan,76,34,200071058, 820    , 27    , -    , -    , -    , 1    , -    ,
70001,Abelcourt,27,70,200041861, 154    , 4    , -    , -    , -    , 1    , -    ,
64002,Abère,75,64,200067296, 63    , 3    , -    , -    , -    , 1    , -    ,
39001,Abergement-la-Ronce,27,39,200010650, 348    , 6    , -    , -    , -    , 1    , -    ,
39002,Abergement-le-Grand,27,39,200071595, 33    , -    , -    , -    , -    , 1    , -    ,
39003,Abergement-le-Petit,27,39,200071595, 20    , 1    , -    , -    , -    , 1    , -    ,
39004,Abergement-lès-Thésy,27,39,200071595, 26    , 1    , -    , -    , -    , 1    , 1    ,
64003,Abidos,75,64,200039204, 95    , 19    , -    , -    , -    , 1    , -    ,
37001,Abilly,24,37,200071587, 594    , 20    , -    , -    , -    , -    , -    ,
64004,Abitain,75,64,200067288, 66    , 5    , -    , -    , -    , 1    , -    ,
24001,Abjat-sur-Bandiat,75,24,200071819, 556    , 10    , -    , -    , -    , 1    , -    ,
62001,Ablain-Saint-Nazaire,32,62,246200364, 789    , 19    , -    ,FRTE , -    , -    , -    ,
80002,Ablaincourt-Pressoir,32,80,200070928, 116    , 9    , -    , -    , -    , 1    , -    ,
62002,Ablainzevelle,32,62,200035442, 85    , 4    , -    , -    , -    , 1    , -    ,
51001,Ablancourt,44,51,200034718, 65    , 2    , -    , -    , -    , 1    , -    ,
95002,Ableiges,11,95,200035970, 424    , 17    , -    , -    , -    , 1    , -    ,
78003,Ablis,11,78,200073344, 1 291    , 91    , -    , -    , 1    , -    , -    ,
14001,Ablon,28,14,200066827, 594    , 21    , -    , -    , -    , -    , -    ,
94001,Ablon-sur-Seine,11,94,200054781, 2 458    , 81    , -    ,SFR0 , -    , -    , -    ,SFR0
42001,Aboën,84,42,244200770, 244    , 6    , -    , -    , -    , 1    , 1    ,THD4
54003,Aboncourt,44,54,245400510, 58    , 2    , -    , -    , -    , 1    , -    ,
57001,Aboncourt,44,57,245701354, 143    , 6    , -    , -    , -    , 1    , -    ,
70002,Aboncourt-Gesincourt,27,70,200036150, 129    , 15    , -    , -    , -    , 1    , -    ,
57002,Aboncourt-sur-Seille,44,57,245701206, 31    , 4    , -    , -    , -    , 1    , -    ,
74001,Abondance,84,74,200071967, 1 751    , 61    , -    , -    , -    , -    , 1    ,
28001,Abondant,24,28,200040277, 979    , 31    , -    , -    , -    , 1    , -    ,EULH
64005,Abos,75,64,200039204, 244    , 26    , -    , -    , -    , 1    , -    ,
57003,Abreschviller,44,57,200068146, 780    , 29    , -    , -    , -    , 1    , 1    ,
03001,Abrest,84,03,200071363, 1 372    , 51    , -    ,FRTE , -    , -    , -    ,FRTE
05001,Abriès,93,05,200067452, 751    , 25    , -    , -    , -    , 1    , 1    ,
59002,Abscon,32,59,200042190, 1 880    , 35    , -    , -    , -    , -    , -    ,
16001,Abzac,75,16,200072049, 366    , 8    , -    , -    , -    , 1    , -    ,
33001,Abzac,75,33,200070092, 1 021    , 39    , -    , -    , -    , 1    , -    ,
25005,Accolans,27,25,200068294, 49    , 3    , -    , -    , -    , 1    , -    ,
07001,Accons,84,07,200041465, 229    , 10    , -    , -    , -    , -    , 1    ,
64006,Accous,75,64,200067262, 456    , 20    , -    , -    , -    , 1    , 1    ,
57004,Achain,44,57,245701206, 42    , 1    , -    , -    , -    , 1    , -    ,
57006,Achen,44,57,200069441, 433    , 9    , -    , -    , -    , 1    , -    ,CCPB
67001,Achenheim,44,67,246700488, 891    , 41    , -    , -    , -    , -    , -    ,
18001,Achères,24,18,200066330, 218    , 6    , -    , -    , -    , 1    , -    ,
78005,Achères,11,78,200059889, 8 671    , 293    , -    ,SFR0 , -    , -    , -    ,SFR0
77001,Achères-la-Forêt,11,77,200072346, 603    , 21    , -    , -    , -    , 1    , -    ,
02002,Achery,32,02,200071785, 263    , 7    , -    , -    , -    , 1    , -    ,AISN
80003,Acheux-en-Amiénois,32,80,248000747, 249    , 24    , -    , -    , -    , 1    , -    ,
80004,Acheux-en-Vimeu,32,80,200070944, 253    , 14    , -    , -    , -    , 1    , -    ,TUD6
62003,Acheville,32,62,246200364, 265    , 4    , -    ,FRTE , -    , 1    , -    ,
70003,Achey,27,70,247000623, 46    , 1    , -    , -    , -    , 1    , -    ,
62004,Achicourt,32,62,200033579, 3 694    , 97    , -    ,FRTE , -    , -    , -    ,FRTE
62005,Achiet-le-Grand,32,62,200035442, 423    , 16    , -    , -    , -    , 1    , -    ,
62006,Achiet-le-Petit,32,62,200035442, 150    , 7    , -    , -    , -    , 1    , -    ,
58001,Achun,27,58,200067882, 129    , 6    , -    , -    , -    , 1    , -    ,
60004,Achy,32,60,246000848, 171    , 10    , -    , -    , -    , 1    , -    ,ONUM
35001,Acigné,53,35,243500139, 2 723    , 127    , -    ,FRTE , -    , -    , -    ,
27001,Aclou,28,27,200066413, 152    , 6    , -    , -    , -    , 1    , -    ,
27002,Acon,28,27,200071454, 284    , 8    , -    , -    , -    , 1    , -    ,
97601,Acoua,06,976,200060465, 1 648    , -    , -    , -    , -    , -    , -    ,
62007,Acq,32,62,200033579, 294    , 15    , -    , -    , -    , 1    , -    ,
14002,Acqueville,28,14,200066710, 87    , 1    , -    , -    , -    , 1    , -    ,
27003,Acquigny,28,27,200035665, 691    , 46    , -    , -    , -    , -    , -    ,
62008,Acquin-Westbécourt,32,62,246201016, 318    , 18    , -    , -    , -    , 1    , -    ,THD5
02003,Acy,32,02,240200477, 444    , 16    , -    , -    , -    , 1    , -    ,AISN
60005,Acy-en-Multien,32,60,246000871, 366    , 12    , -    , -    , -    , 1    , -    ,
08001,Acy-Romance,44,08,200043156, 191    , 21    , -    , -    , -    , -    , -    ,
57007,Adaincourt,44,57,245700133, 50    , 3    , -    , -    , -    , 1    , -    ,
78006,Adainville,11,78,247800550, 413    , 13    , -    , -    , 1    , 1    , -    ,
25006,Adam-lès-Passavant,27,25,242504447, 42    , 2    , -    , -    , -    , 1    , -    ,
