Réseaux en fibre optique jusqu'à l'abonné (FttH),,,
Informations à l'échelle de l'EPCI,,,
,,,
,,,
Siren EPCI,Nom EPCI,Logements,Établissements
200000172,CC Faucigny-Glières, 12 394    , 722    
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois, 15 298    , 603    
200000545,CC des Portes de Romilly-sur-Seine, 9 632    , 462    
200000628,CC Rhône Lez Provence, 11 674    , 659    
200000800,CC Coeur de Sologne, 6 810    , 302    
200000925,CC de la Plaine Dijonnaise, 8 949    , 364    
200000933,CC Sauldre et Sologne, 9 038    , 430    
200004802,CC du Pays de Fayence, 17 581    , 792    
200005932,CC des Portes de Sologne, 7 464    , 323    
200005957,CC de la Région de Rambervillers, 6 665    , 343    
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay", 28 095    , 2 437    
200006716,CC du Nogentais, 8 428    , 461    
200006930,CC du Haut-Allier, 4 510    , 211    
200006971,CC du Perche, 10 782    , 629    
200007052,CC de la Marche Berrichonne, 4 630    , 170    
200007177,CC Pays de Nérondes, 3 070    , 132    
200010650,CA du Grand Dole, 27 226    , 1 483    
200010700,CA Caux Seine Agglo, 33 871    , 1 624    
200011773,CA Annemasse-les Voirons-Agglomération, 45 711    , 2 193    
200011781,CC Portes du Berry entre Loire et Val d'Aubois, 5 639    , 195    
200012060,CC Petite Montagne, 4 282    , 147    
200013050,CC Sauer-Pechelbronn, 8 229    , 346    
200015162,CC de l'Oriente, 6 171    , 273    
200016905,CC du Pays de Lamastre, 5 049    , 190    
200017341,CC Lodévois et Larzac, 9 100    , 423    
200017846,CA Étampois Sud-Essonne, 23 837    , 1 260    
200018083,CC de Desvres-Samer, 9 516    , 480    
200018166,CC Le Grésivaudan, 50 527    , 2 485    
200018406,CC du Romorantinais et du Monestois, 17 742    , 886    
200018521,CC du Val de Bouzanne, 3 925    , 182    
200018653,CA Cap Excellence, 54 955    , 5 369    
200022986,CC du Grand Pic Saint-Loup, 20 650    , 1 144    
200023075,CC du Pays de Maîche, 9 730    , 405    
200023125,CC Les Portes Briardes entre Villes et Forêts, 18 474    , 1 100    
200023240,CC Pays de Nemours, 14 516    , 706    
200023299,CC Coeur de Tarentaise, 18 365    , 787    
200023307,CA du Grand Villeneuvois, 25 618    , 1 445    
200023372,CC de la Vallée de Chamonix-Mont-Blanc, 19 388    , 894    
200023414,Métropole Rouen Normandie, 248 439    , 12 468    
200023620,CC de la Gascogne Toulousaine, 8 648    , 503    
200023737,CA du Grand Cahors, 24 721    , 1 572    
200023778,CC du Pays de Saint-Gilles-Croix-de-Vie, 47 610    , 1 342    
200023794,CC de Blaye, 10 617    , 621    
200023919,CC Gâtinais Val de Loing, 9 424    , 406    
