Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par Arrondissement (Paris-Lyon-Marseille),,,,
,,,,
,,,,
Code arrondissement,Champ,T3 2017,T4 2017,T1 2018
13201,Locaux Raccordables,7258,7312,7422
13201,Catégorie,25,25,25
13202,Locaux Raccordables,7952,7976,8031
13202,Catégorie,25,25,25
13203,Locaux Raccordables,10302,10391,10521
13203,Catégorie,25,25,25
13204,Locaux Raccordables,16879,17002,17106
13204,Catégorie,50,50,50
13205,Locaux Raccordables,16257,16231,16462
13205,Catégorie,50,50,50
13206,Locaux Raccordables,10986,10728,10873
13206,Catégorie,25,25,25
13207,Locaux Raccordables,11184,10998,10912
13207,Catégorie,25,25,25
13208,Locaux Raccordables,37781,37711,38438
13208,Catégorie,80,50,80
13209,Locaux Raccordables,28043,27697,27927
13209,Catégorie,50,50,50
13210,Locaux Raccordables,21777,21817,22244
13210,Catégorie,50,50,50
13211,Locaux Raccordables,12273,11036,12017
13211,Catégorie,25,25,25
13212,Locaux Raccordables,17437,17037,17077
13212,Catégorie,50,50,50
13213,Locaux Raccordables,21290,21412,21532
13213,Catégorie,50,50,50
13214,Locaux Raccordables,10450,10768,10968
13214,Catégorie,25,25,25
13215,Locaux Raccordables,14411,14424,14442
13215,Catégorie,25,25,25
13216,Locaux Raccordables,2103,2168,2168
13216,Catégorie,10,25,25
69381,Locaux Raccordables,19845,20581,21035
69381,Catégorie,80,80,80
69382,Locaux Raccordables,24429,25642,26449
69382,Catégorie,80,80,80
69383,Locaux Raccordables,66381,65599,66275
69383,Catégorie,80,80,80
69384,Locaux Raccordables,21126,21586,21822
69384,Catégorie,80,80,80
69385,Locaux Raccordables,24299,25196,25963
69385,Catégorie,80,80,80
69386,Locaux Raccordables,35963,36693,37030
69386,Catégorie,80,80,80
69387,Locaux Raccordables,52305,53274,54027
69387,Catégorie,80,80,80
69388,Locaux Raccordables,46780,47233,47478
69388,Catégorie,80,80,80
69389,Locaux Raccordables,26619,27278,27831
69389,Catégorie,80,80,80
75101,Locaux Raccordables,17031,17455,17757
75101,Catégorie,80,80,80
75102,Locaux Raccordables,20933,21504,21822
75102,Catégorie,80,80,80
75103,Locaux Raccordables,27211,27703,27934
75103,Catégorie,80,80,80
75104,Locaux Raccordables,24188,24511,24715
75104,Catégorie,80,80,80
75105,Locaux Raccordables,40595,41364,41879
75105,Catégorie,80,80,80
75106,Locaux Raccordables,34663,35341,35909
75106,Catégorie,80,80,80
75107,Locaux Raccordables,46284,46738,47292
75107,Catégorie,80,80,80
75108,Locaux Raccordables,43376,44112,45007
75108,Catégorie,80,80,80
75109,Locaux Raccordables,46046,48166,48964
75109,Catégorie,80,80,80
75110,Locaux Raccordables,60962,61849,62477
75110,Catégorie,80,80,80
75111,Locaux Raccordables,99386,99972,101140
75111,Catégorie,80,80,80
75112,Locaux Raccordables,87885,89384,90290
75112,Catégorie,80,80,80
75113,Locaux Raccordables,107359,104034,104915
75113,Catégorie,80,80,80
75114,Locaux Raccordables,85616,85512,86797
75114,Catégorie,80,80,80
75115,Locaux Raccordables,159930,158436,159874
75115,Catégorie,80,80,80
75116,Locaux Raccordables,127251,129234,131021
75116,Catégorie,80,80,80
75117,Locaux Raccordables,113878,116291,118887
75117,Catégorie,80,80,80
75118,Locaux Raccordables,110463,113328,114873
75118,Catégorie,80,80,80
75119,Locaux Raccordables,97082,96669,97410
75119,Catégorie,80,80,80
75120,Locaux Raccordables,106596,104216,105145
75120,Catégorie,80,80,80
