Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par Commune,,,,
,,,,
,,,,
Code commune,Champ,T3 2017,T4 2017,T1 2018
01001,Locaux Raccordables,0,0,0
01001,Catégorie,0,0,0
01002,Locaux Raccordables,0,0,0
01002,Catégorie,0,0,0
01004,Locaux Raccordables,1460,1793,2248
01004,Catégorie,10,10,25
01005,Locaux Raccordables,2,2,2
01005,Catégorie,5,5,5
01006,Locaux Raccordables,74,75,74
01006,Catégorie,80,80,80
01007,Locaux Raccordables,1013,1051,1054
01007,Catégorie,80,80,80
01008,Locaux Raccordables,0,0,0
01008,Catégorie,0,0,0
01009,Locaux Raccordables,0,0,186
01009,Catégorie,0,0,80
01010,Locaux Raccordables,574,602,602
01010,Catégorie,80,80,80
01011,Locaux Raccordables,0,0,0
01011,Catégorie,0,0,0
01012,Locaux Raccordables,0,0,0
01012,Catégorie,0,0,0
01013,Locaux Raccordables,0,0,0
01013,Catégorie,0,0,0
01014,Locaux Raccordables,1682,1684,1683
01014,Catégorie,80,80,80
01015,Locaux Raccordables,0,0,0
01015,Catégorie,0,0,0
01016,Locaux Raccordables,234,238,234
01016,Catégorie,80,80,80
01017,Locaux Raccordables,0,0,0
01017,Catégorie,0,0,0
01019,Locaux Raccordables,0,0,0
01019,Catégorie,0,0,0
01021,Locaux Raccordables,0,0,0
01021,Catégorie,0,0,0
01022,Locaux Raccordables,0,0,0
01022,Catégorie,0,0,0
01023,Locaux Raccordables,50,50,50
01023,Catégorie,80,80,80
01024,Locaux Raccordables,751,752,757
01024,Catégorie,50,50,50
01025,Locaux Raccordables,408,409,410
01025,Catégorie,10,10,10
01026,Locaux Raccordables,0,0,0
01026,Catégorie,0,0,0
01027,Locaux Raccordables,237,239,302
01027,Catégorie,25,25,25
01028,Locaux Raccordables,0,0,0
01028,Catégorie,0,0,0
01029,Locaux Raccordables,154,154,154
01029,Catégorie,25,25,25
01030,Locaux Raccordables,0,0,0
01030,Catégorie,0,0,0
01031,Locaux Raccordables,0,0,0
01031,Catégorie,0,0,0
01032,Locaux Raccordables,681,779,771
01032,Catégorie,50,50,50
01033,Locaux Raccordables,1569,1586,1598
01033,Catégorie,25,25,25
01034,Locaux Raccordables,44,44,44
01034,Catégorie,5,5,5
01035,Locaux Raccordables,0,0,202
01035,Catégorie,0,0,80
01036,Locaux Raccordables,407,410,407
01036,Catégorie,80,80,80
01037,Locaux Raccordables,162,166,165
01037,Catégorie,80,80,80
01038,Locaux Raccordables,4,4,4
01038,Catégorie,5,5,5
01039,Locaux Raccordables,258,261,258
01039,Catégorie,80,80,80
01040,Locaux Raccordables,0,0,0
01040,Catégorie,0,0,0
01041,Locaux Raccordables,0,0,0
01041,Catégorie,0,0,0
01042,Locaux Raccordables,125,125,125
01042,Catégorie,80,80,80
01043,Locaux Raccordables,0,0,0
01043,Catégorie,0,0,0
01044,Locaux Raccordables,237,241,241
01044,Catégorie,80,80,80
01045,Locaux Raccordables,0,0,0
01045,Catégorie,0,0,0
01046,Locaux Raccordables,256,302,302
01046,Catégorie,50,80,80
01047,Locaux Raccordables,45,446,452
01047,Catégorie,5,80,80
01049,Locaux Raccordables,22,24,24
01049,Catégorie,5,5,5
01050,Locaux Raccordables,0,0,0
01050,Catégorie,0,0,0
01051,Locaux Raccordables,0,0,0
01051,Catégorie,0,0,0
01052,Locaux Raccordables,50,51,51
01052,Catégorie,25,25,25
01053,Locaux Raccordables,21708,22070,22275
01053,Catégorie,80,80,80
