Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par Département,,,,
,,,,
,,,,
Code département,Champ,T3 2017,T4 2017,T1 2018
01,Locaux Raccordables,106868,112817,116403
01,Catégorie,25,25,25
02,Locaux Raccordables,43088,53928,65809
02,Catégorie,10,10,10
03,Locaux Raccordables,35456,38385,42072
03,Catégorie,10,10,10
04,Locaux Raccordables,4574,5166,6437
04,Catégorie,5,5,5
05,Locaux Raccordables,10876,11088,11414
05,Catégorie,5,5,5
06,Locaux Raccordables,303969,320371,338789
06,Catégorie,25,25,25
07,Locaux Raccordables,8048,9478,10551
07,Catégorie,5,5,5
08,Locaux Raccordables,14292,16767,18240
08,Catégorie,5,10,10
09,Locaux Raccordables,3804,4178,5029
09,Catégorie,5,5,5
10,Locaux Raccordables,13921,15915,16888
10,Catégorie,5,5,5
11,Locaux Raccordables,17154,18389,19635
11,Catégorie,5,5,5
12,Locaux Raccordables,5516,6466,8005
12,Catégorie,5,5,5
13,Locaux Raccordables,349575,358245,369631
13,Catégorie,25,25,25
14,Locaux Raccordables,182697,179013,181570
14,Catégorie,25,25,25
15,Locaux Raccordables,20947,22383,23428
15,Catégorie,10,10,10
16,Locaux Raccordables,13085,16977,19852
16,Catégorie,5,5,5
17,Locaux Raccordables,46410,52698,55895
17,Catégorie,10,10,10
18,Locaux Raccordables,29186,30155,31279
18,Catégorie,10,10,10
19,Locaux Raccordables,14405,16037,17026
19,Catégorie,5,10,10
21,Locaux Raccordables,67635,75561,81879
21,Catégorie,10,25,25
22,Locaux Raccordables,30039,36267,44482
22,Catégorie,5,5,10
23,Locaux Raccordables,1738,1773,1773
23,Catégorie,5,5,5
24,Locaux Raccordables,4314,6157,6858
24,Catégorie,5,5,5
25,Locaux Raccordables,67848,77885,87163
25,Catégorie,10,25,25
26,Locaux Raccordables,34212,37680,41160
26,Catégorie,10,10,10
27,Locaux Raccordables,15527,19285,24724
27,Catégorie,5,5,5
28,Locaux Raccordables,44808,56411,60160
28,Catégorie,10,25,25
29,Locaux Raccordables,115380,122996,129026
29,Catégorie,10,10,10
2A,Locaux Raccordables,29574,31076,32882
2A,Catégorie,25,25,25
2B,Locaux Raccordables,8634,10212,11217
2B,Catégorie,5,5,5
30,Locaux Raccordables,39676,48024,54535
30,Catégorie,5,10,10
31,Locaux Raccordables,259776,272969,288663
31,Catégorie,25,25,25
32,Locaux Raccordables,5189,7030,7834
32,Catégorie,5,5,5
33,Locaux Raccordables,241864,269416,282834
33,Catégorie,25,25,25
34,Locaux Raccordables,172435,181941,193228
34,Catégorie,10,25,25
35,Locaux Raccordables,109348,122625,136157
35,Catégorie,10,10,10
36,Locaux Raccordables,6573,7973,9146
36,Catégorie,5,5,5
37,Locaux Raccordables,71820,78424,84716
37,Catégorie,10,10,25
38,Locaux Raccordables,127839,133993,141002
38,Catégorie,10,10,10
39,Locaux Raccordables,3096,4389,4886
39,Catégorie,5,5,5
40,Locaux Raccordables,37008,39604,41601
40,Catégorie,10,10,10
41,Locaux Raccordables,16639,18956,20578
41,Catégorie,5,5,10
42,Locaux Raccordables,109240,132840,152203
42,Catégorie,25,25,25
43,Locaux Raccordables,39417,41277,42548
43,Catégorie,25,25,25
44,Locaux Raccordables,142820,152921,163620
44,Catégorie,10,10,10
45,Locaux Raccordables,73124,82372,90769
45,Catégorie,10,10,25
46,Locaux Raccordables,1994,2688,3189
46,Catégorie,5,5,5
47,Locaux Raccordables,6979,8908,10304
47,Catégorie,5,5,5
48,Locaux Raccordables,1588,2367,2574
48,Catégorie,5,5,5
49,Locaux Raccordables,73463,77442,83891
49,Catégorie,10,10,10
50,Locaux Raccordables,31496,37622,42205
50,Catégorie,10,10,10
51,Locaux Raccordables,70615,74960,78376
51,Catégorie,10,10,25
52,Locaux Raccordables,5372,5374,5374
52,Catégorie,5,5,5
53,Locaux Raccordables,42778,46492,47454
53,Catégorie,25,25,25
54,Locaux Raccordables,72501,80284,84471
54,Catégorie,10,10,10
55,Locaux Raccordables,5346,5924,6540
55,Catégorie,5,5,5
56,Locaux Raccordables,72458,76533,81574
56,Catégorie,10,10,10
57,Locaux Raccordables,161706,172327,180280
57,Catégorie,25,25,25
58,Locaux Raccordables,6886,7291,7972
58,Catégorie,5,5,5
59,Locaux Raccordables,235617,266076,300896
59,Catégorie,10,10,10
60,Locaux Raccordables,148994,177121,184056
60,Catégorie,25,25,25
61,Locaux Raccordables,15625,17866,20215
61,Catégorie,5,10,10
62,Locaux Raccordables,82929,108029,131960
62,Catégorie,10,10,10
63,Locaux Raccordables,79254,84686,89745
63,Catégorie,10,10,10
64,Locaux Raccordables,115006,121499,127723
64,Catégorie,25,25,25
65,Locaux Raccordables,11383,14527,16450
65,Catégorie,5,5,5
66,Locaux Raccordables,57265,61236,63716
66,Catégorie,10,10,10
67,Locaux Raccordables,150559,168078,182608
67,Catégorie,25,25,25
68,Locaux Raccordables,55601,69162,83968
68,Catégorie,10,10,10
69,Locaux Raccordables,523999,552193,579065
69,Catégorie,50,50,50
70,Locaux Raccordables,3512,4323,5298
70,Catégorie,5,5,5
71,Locaux Raccordables,27737,29379,32768
71,Catégorie,5,5,10
72,Locaux Raccordables,57540,66260,72339
72,Catégorie,10,10,10
73,Locaux Raccordables,28110,30836,33337
73,Catégorie,5,5,5
74,Locaux Raccordables,40719,44045,51074
74,Catégorie,5,5,10
75,Locaux Raccordables,1456735,1465819,1484108
75,Catégorie,80,80,80
76,Locaux Raccordables,110760,122323,134822
76,Catégorie,10,10,10
77,Locaux Raccordables,142896,170707,194712
77,Catégorie,10,25,25
78,Locaux Raccordables,255984,288309,308596
78,Catégorie,25,25,25
79,Locaux Raccordables,22231,25752,26848
79,Catégorie,10,10,10
80,Locaux Raccordables,41756,46933,56571
80,Catégorie,10,10,10
81,Locaux Raccordables,22684,23678,25370
81,Catégorie,10,10,10
82,Locaux Raccordables,21930,22937,23674
82,Catégorie,10,10,10
83,Locaux Raccordables,83868,89608,95094
83,Catégorie,10,10,10
84,Locaux Raccordables,41028,45824,51500
84,Catégorie,10,10,10
85,Locaux Raccordables,16552,21446,25028
85,Catégorie,5,5,5
86,Locaux Raccordables,34792,38698,40916
86,Catégorie,10,10,10
87,Locaux Raccordables,51939,57804,59688
87,Catégorie,10,25,25
88,Locaux Raccordables,5363,5451,6288
88,Catégorie,5,5,5
89,Locaux Raccordables,8492,11143,12597
89,Catégorie,5,5,5
90,Locaux Raccordables,9120,9902,12080
90,Catégorie,10,10,10
91,Locaux Raccordables,200534,221827,233955
91,Catégorie,25,25,25
92,Locaux Raccordables,705374,711606,755943
92,Catégorie,80,80,80
93,Locaux Raccordables,293776,323724,345415
93,Catégorie,25,25,50
94,Locaux Raccordables,308199,328856,343704
94,Catégorie,25,50,50
95,Locaux Raccordables,220290,240270,252462
95,Catégorie,25,25,25
971,Locaux Raccordables,28741,30394,30843
971,Catégorie,10,10,10
972,Locaux Raccordables,11683,15129,18979
972,Catégorie,5,5,5
973,Locaux Raccordables,6936,7760,8742
973,Catégorie,5,5,10
974,Locaux Raccordables,169200,198269,214570
974,Catégorie,25,50,50
975,Locaux Raccordables,0,0,0
975,Catégorie,0,0,0
976,Locaux Raccordables,0,0,0
976,Catégorie,0,0,0
977,Locaux Raccordables,0,0,0
977,Catégorie,0,0,0
978,Locaux Raccordables,65,86,143
