Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par EPCI,,,,
,,,,
,,,,
Siren EPCI,Champ,T3 2017,T4 2017,T1 2018
200000172,Locaux Raccordables,1111,1455,1303
200000172,Catégorie,5,10,5
200000438,Locaux Raccordables,0,0,0
200000438,Catégorie,0,0,0
200000545,Locaux Raccordables,0,0,0
200000545,Catégorie,0,0,0
200000628,Locaux Raccordables,0,0,0
200000628,Catégorie,0,0,0
200000800,Locaux Raccordables,0,0,0
200000800,Catégorie,0,0,0
200000925,Locaux Raccordables,0,0,0
200000925,Catégorie,0,0,0
200000933,Locaux Raccordables,0,0,0
200000933,Catégorie,0,0,0
200004802,Locaux Raccordables,0,0,0
200004802,Catégorie,0,0,0
200005932,Locaux Raccordables,0,0,0
200005932,Catégorie,0,0,0
200005957,Locaux Raccordables,0,0,0
200005957,Catégorie,0,0,0
200006682,Locaux Raccordables,4632,5193,5501
200006682,Catégorie,10,10,10
200006716,Locaux Raccordables,0,0,0
200006716,Catégorie,0,0,0
200006930,Locaux Raccordables,0,0,0
200006930,Catégorie,0,0,0
200006971,Locaux Raccordables,0,0,0
200006971,Catégorie,0,0,0
200007052,Locaux Raccordables,0,0,0
200007052,Catégorie,0,0,0
200007177,Locaux Raccordables,1637,1645,1645
200007177,Catégorie,50,50,50
200010650,Locaux Raccordables,798,1433,1711
200010650,Catégorie,5,5,5
200010700,Locaux Raccordables,0,0,0
200010700,Catégorie,0,0,0
200011773,Locaux Raccordables,2657,3832,4726
200011773,Catégorie,5,5,5
200011781,Locaux Raccordables,0,0,0
200011781,Catégorie,0,0,0
200012060,Locaux Raccordables,0,0,0
200012060,Catégorie,0,0,0
200013050,Locaux Raccordables,0,0,0
200013050,Catégorie,0,0,0
200015162,Locaux Raccordables,0,0,0
200015162,Catégorie,0,0,0
200016905,Locaux Raccordables,0,0,0
200016905,Catégorie,0,0,0
200017341,Locaux Raccordables,0,0,0
200017341,Catégorie,0,0,0
200017846,Locaux Raccordables,0,0,0
200017846,Catégorie,0,0,0
200018083,Locaux Raccordables,0,0,0
200018083,Catégorie,0,0,0
200018166,Locaux Raccordables,0,0,0
200018166,Catégorie,0,0,0
200018406,Locaux Raccordables,476,837,1301
200018406,Catégorie,5,5,5
200018521,Locaux Raccordables,0,0,0
200018521,Catégorie,0,0,0
200018653,Locaux Raccordables,4230,4280,4423
200018653,Catégorie,5,5,5
200022986,Locaux Raccordables,0,0,0
200022986,Catégorie,0,0,0
200023075,Locaux Raccordables,3161,3336,3450
200023075,Catégorie,25,25,25
200023125,Locaux Raccordables,672,2251,2306
200023125,Catégorie,5,10,10
200023240,Locaux Raccordables,0,0,0
200023240,Catégorie,0,0,0
200023299,Locaux Raccordables,0,0,0
200023299,Catégorie,0,0,0
200023307,Locaux Raccordables,1128,1314,1532
200023307,Catégorie,5,5,5
200023372,Locaux Raccordables,0,0,0
200023372,Catégorie,0,0,0
200023414,Locaux Raccordables,44676,51090,58520
200023414,Catégorie,10,10,10
200023620,Locaux Raccordables,69,690,879
200023620,Catégorie,5,5,5
200023737,Locaux Raccordables,1994,2688,3189
200023737,Catégorie,5,10,10
200023778,Locaux Raccordables,0,0,0
200023778,Catégorie,0,0,0
200023794,Locaux Raccordables,0,0,0
200023794,Catégorie,0,0,0
200023919,Locaux Raccordables,0,0,0
200023919,Catégorie,0,0,0
200026573,Locaux Raccordables,496,496,496
200026573,Catégorie,5,5,5
200027027,Locaux Raccordables,1173,1180,1180
200027027,Catégorie,5,5,5
200027076,Locaux Raccordables,0,0,0
200027076,Catégorie,0,0,0
200027100,Locaux Raccordables,0,0,0
200027100,Catégorie,0,0,0
200027183,Locaux Raccordables,57265,61236,63716
200027183,Catégorie,25,25,25
200027217,Locaux Raccordables,0,0,0
200027217,Catégorie,0,0,0
200027308,Locaux Raccordables,0,0,0
200027308,Catégorie,0,0,0
200027548,Locaux Raccordables,0,0,0
200027548,Catégorie,0,0,0
200029734,Locaux Raccordables,0,0,0
200029734,Catégorie,0,0,0
200029999,Locaux Raccordables,539,563,543
200029999,Catégorie,5,5,5
200030195,Locaux Raccordables,200784,211039,218768
200030195,Catégorie,50,50,50
200030385,Locaux Raccordables,15219,16210,17141
200030385,Catégorie,25,25,25
200030435,Locaux Raccordables,0,0,0
200030435,Catégorie,0,0,0
200030526,Locaux Raccordables,0,0,0
200030526,Catégorie,0,0,0
200030633,Locaux Raccordables,0,0,0
200030633,Catégorie,0,0,0
200030658,Locaux Raccordables,0,0,0
200030658,Catégorie,0,0,0
200030674,Locaux Raccordables,1023,1466,1846
200030674,Catégorie,5,5,5
200032514,Locaux Raccordables,0,0,0
200032514,Catégorie,0,0,0
200033025,Locaux Raccordables,4186,4725,5047
200033025,Catégorie,10,10,10
200033090,Locaux Raccordables,0,0,0
200033090,Catégorie,0,0,0
200033116,Locaux Raccordables,2113,2394,3287
