Réseaux en fibre optique jusqu'à l'abonné (FttH),,,
Informations à l'échelle de la Région,,,
,,,
,,,
Code région,Nom région,Logements,Établissements
01,Guadeloupe, 220 069    , 11 039    
02,Martinique, 207 001    , 10 528    
03,Guyane, 81 392    , 4 491    
04,La Réunion, 348 781    , 19 884    
06,Mayotte, 60 076    , -    
11,Île-de-France, 5 619 115    , 386 559    
24,Centre-Val de Loire, 1 352 052    , 68 552    
27,Bourgogne-Franche-Comté, 1 535 090    , 78 902    
28,Normandie, 1 768 558    , 88 278    
32,Hauts-de-France, 2 795 145    , 134 348    
44,Grand Est, 2 766 077    , 148 472    
52,Pays de la Loire, 1 937 242    , 97 970    
53,Bretagne, 1 859 812    , 90 052    
75,Nouvelle-Aquitaine, 3 376 460    , 176 940    
76,Occitanie, 3 424 675    , 170 517    
84,Auvergne-Rhône-Alpes, 4 287 653    , 234 988    
93,Provence-Alpes-Côte d'Azur, 2 982 947    , 161 545    
94,Corse, 238 310    , 13 118    
